SQL> select last_name , hire_date, to_char(hire_date, 'day')
  2  from employees
LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Dellinger                 24-JUN-06 saturday                                    
Hutton                    19-MAR-05 saturday                                    
Bates                     24-MAR-07 saturday                                    
Lee                       23-FEB-08 saturday                                    
Pataballa                 05-FEB-06 sunday                                      
Tucker                    30-JAN-05 sunday                                      
Livingston                23-APR-06 sunday                                      
Weiss                     18-JUL-04 sunday                                      
Geoni                     03-FEB-08 sunday                                      
Bull                      20-FEB-05 sunday                                      
Grant                     13-JAN-08 sunday                                      

LAST_NAME                 HIRE_DATE TO_CHAR(H                                   
------------------------- --------- ---------                                   
Khoo                      18-MAY-03 sunday                                      
Landry                    14-JAN-07 sunday                                      
Atkinson                  30-OCT-05 sunday                                      
Tobias                    24-JUL-05 sunday                                      
Seo                       12-FEB-06 sunday                                      
Vargas                    09-JUL-06 sunday                                      
McEwen                    01-AUG-04 sunday                                      
Fripp                     10-APR-05 sunday                                      

107 rows selected.

SQL> select rpad('*' , trunc(salary/1000),'*') from employees;

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
************************                                                        
*****************                                                               
*****************                                                               
*********                                                                       
******                                                                          
****                                                                            
****                                                                            
****                                                                            
************                                                                    
*********                                                                       
********                                                                        

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
*******                                                                         
*******                                                                         
******                                                                          
***********                                                                     
***                                                                             
**                                                                              
**                                                                              
**                                                                              
**                                                                              
********                                                                        
********                                                                        

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
*******                                                                         
******                                                                          
*****                                                                           
***                                                                             
**                                                                              
**                                                                              
**                                                                              
***                                                                             
**                                                                              
**                                                                              
**                                                                              

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
***                                                                             
**                                                                              
**                                                                              
**                                                                              
***                                                                             
***                                                                             
**                                                                              
**                                                                              
***                                                                             
***                                                                             
**                                                                              

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
**                                                                              
**************                                                                  
*************                                                                   
************                                                                    
***********                                                                     
**********                                                                      
**********                                                                      
*********                                                                       
*********                                                                       
********                                                                        
*******                                                                         

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
*******                                                                         
**********                                                                      
*********                                                                       
*********                                                                       
********                                                                        
*******                                                                         
*******                                                                         
**********                                                                      
*********                                                                       
*******                                                                         
******                                                                          

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
******                                                                          
******                                                                          
***********                                                                     
**********                                                                      
*********                                                                       
*******                                                                         
*******                                                                         
******                                                                          
***********                                                                     
********                                                                        
********                                                                        

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
********                                                                        
*******                                                                         
******                                                                          
***                                                                             
***                                                                             
**                                                                              
**                                                                              
****                                                                            
****                                                                            
***                                                                             
***                                                                             

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
***                                                                             
***                                                                             
**                                                                              
**                                                                              
****                                                                            
***                                                                             
***                                                                             
**                                                                              
***                                                                             
***                                                                             
**                                                                              

RPAD('*',TRUNC(SALARY/1000),'*')                                                
--------------------------------------------------------------------------------
**                                                                              
****                                                                            
*************                                                                   
******                                                                          
******                                                                          
**********                                                                      
************                                                                    
********                                                                        

107 rows selected.

SQL> spool off;
